zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCrq00000Rxl2R,CO[C@@H](CN(Cc1cc2n(n1)CCCC2)C(=O)[C@H]1C[C@@H]1[N+](=O)[O-])C1(C)CC1,0.325,0.5,0.9307645,0.87539333,0.91380894,0.99961144,0.7574297010898591,0.7521909344280865,4.0,0.7032296465771255,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCsu00000yIsfu,C=CCCn1nnnc1[C@H](NCc1cc([N+](=O)[O-])ccc1Cl)C1=NO[C@H]2C[C@@H]12,0.315,0.485,0.8949126,0.7952624,0.9618951,0.9997558,0.7419709841410319,0.7369838583046663,4.0,0.6863740177572787,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtQ000003qzzg,CCCCC[C@H](CC)C(=O)N1C[C@H]2[C@H](CN=c3[nH]c(C)c([N+](=O)[O-])cc3Cl)[C@H]2C1,0.3,0.5,0.83343416,0.8754767,0.8716341,0.9993328,0.7299796322981517,0.7242292394029333,4.0,0.6758888054315776,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtK00000tIzko,O=[N+]([O-])c1cc(Cl)c(Br)cc1CN[C@@H]1CC[C@H](NS(=O)(=O)c2ccc(Cl)nc2)C1,0.365,0.6254166666666667,0.49385667,0.9364601,0.95182914,0.9999936,0.7287593617704179,0.7225748950087995,4.0,0.6818436311488033,0,0,1,1,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtC00000uKopC,CCCn1nnnc1[C@@](C)(C[C@H]1CCOC1)NCc1cc(F)c(Cl)c([N+](=O)[O-])c1,0.455,0.455,0.7960365,0.6476333,0.9918561,0.99936956,0.7241492426395416,0.7211619118595799,4.0,0.6877173091038558,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtu00000Eg0E7,Cc1cc(N2CC(N3CCN(C(=O)[C@@H]4[C@H]5CCC[C@H]54)CC3)C2)c(F)cc1[N+](=O)[O-],0.335,0.48,0.75339305,0.87561226,0.8969625,0.9999957,0.7234939241409301,0.718084600648136,4.0,0.6756658783449159,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtC00000uKopz,C=CCn1nnnc1[C@](C)(C[C@H]1CCCOC1)NCc1cc([N+](=O)[O-])ccc1Cl,0.39,0.5,0.7516895,0.678353,0.9731865,0.99997073,0.71553328871727,0.7114699609736177,4.0,0.6775666710088071,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCtK00000tIzkt,O=[N+]([O-])c1cc(CN2C[C@H]3CC[C@H]2CN(c2ncc(C4CC4)cn2)C3)ccc1Cl,0.345,0.405,0.749214,0.8048029,0.9692932,0.99994314,0.7122088670730591,0.7075441982898306,4.0,0.6586681517117242,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCsC000004NuRU,C[C@H](N=c1cc[nH]cc1[N+](=O)[O-])[C@H]1CCCN(C(=O)c2cc(C(F)F)on2)C1,0.3183333333333333,0.49,0.96183133,0.5256624,0.9599871,0.9999435,0.7092929475837284,0.7053935048653442,4.0,0.6504104112971548,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
ZINCrd00000mOn0H,Cc1ccc([N+](=O)[O-])c(C(=O)N2CCN(C(=O)c3cc(=O)n(C)o3)CC2)c1,0.335,0.495,0.93533593,0.8171317,0.6549315,0.9999772,0.7062293815612793,0.7008678474155723,4.0,0.6604641865249504,0,1,1,0,1,1,4,1,1,1,Level_2_Medium_Confidence
