zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCtj000013ffoE,O=C(NC[C@@H]1CO[C@H](CNC(=O)c2cc([N+](=O)[O-])ccc2Cl)C1)C1=COCCO1,0.425,0.46,0.8254104,0.4944088,0.95910984,0.99993,0.6939765131473541,0.6911856867235602,3.0,0.6515635908928638,0,1,1,0,0,1,3,1,1,0,Level_1_Low_Confidence
ZINCtz00000nexd6,Nc1ccc(C(=O)N2CCCN(C(=O)c3cc(Cl)ccc3F)CC2)c([N+](=O)[O-])c1,0.345,0.48,0.8425459,0.4242135,0.9650639,0.9999926,0.676135993997256,0.6727126061662714,3.0,0.6205811010202363,0,1,1,0,0,1,3,1,1,0,Level_1_Low_Confidence
ZINCso00001cj9As,Cn1c(Cl)cnc1CN[C@@H](c1csc([N+](=O)[O-])c1)c1nnnn1[C@H]1CCOC1,0.325,0.38,0.96919507,0.3980742,0.9721875,0.99996495,0.6740702915191651,0.6711188245496006,3.0,0.5992796113917107,0,1,1,0,0,1,3,1,1,0,Level_1_Low_Confidence
ZINCqC0000044PRF,CN(CC1CC1)[C@@H]1C[C@H]2C[C@H]1N(C(=O)Cc1cc(Br)ccc1[N+](=O)[O-])C2,0.235,0.48,0.44660318,0.9140759,0.9586406,0.99980724,0.6723544840017954,0.6653116775066293,3.0,0.5944712777308447,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCto00000WjCJr,CC(C)n1ncc(C(=O)N[C@@H]2C[C@H]2NC(=O)Cc2ccc(Cl)c([N+](=O)[O-])c2)c1N,0.32,0.495,0.3983041,0.89487904,0.8948421,0.99997383,0.6671665116151173,0.660842913752752,3.0,0.6080111671828595,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCqy00000EWSAF,Cc1ccnc(N[C@@H]2CC[C@]3(CCN(C(=O)[C@@H]4C[C@H]4F)C3)C2)c1[N+](=O)[O-],0.35,0.49,0.49803367,0.8399856,0.81945103,0.9998261,0.6662160648902257,0.6604682054164561,3.0,0.6235534557507917,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCtt00000tnuAz,Cc1c([N+](=O)[O-])ccc(Br)c1C(=O)N1CCN(CCNC(=O)c2nccs2)CC1,0.345,0.47,0.74710107,0.42596525,0.98365057,0.9999956,0.661952078739802,0.6584216381472052,3.0,0.6084873704015672,0,1,1,0,0,1,3,1,1,0,Level_1_Low_Confidence
ZINCtl00000NZFLx,Cc1nc(O)nc(C)c1CC(=O)N1CCN(C(=O)c2cc(CC(C)C)on2)CC1,0.335,0.47,0.8996428,0.8719307,0.4077135,0.9796948,0.6606636383136113,0.6548386733836316,3.0,0.6056059160406402,0,1,0,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCtE00000oJ3Qg,Cn1[nH]c(=NC(=O)[C@H]2C[C@H]2NCc2cccc(Br)c2[N+](=O)[O-])c2ccc(Cl)nc21,0.365,0.435,0.320425,0.88695437,0.9183913,0.99922,0.6541651119788487,0.6484701192040815,3.0,0.5881883871859936,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCrv00000PQTRl,CCc1c(Br)cc(C(=O)N2CCn3c(nnc3[C@H]3CCCS3)C2)c(=O)n1C,0.37,0.4983333333333333,0.69109017,0.90163165,0.46364284,0.98723656,0.6519890913698408,0.6460065665763601,3.0,0.6120896718071698,0,1,0,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCrs000004B0Fd,COC[C@@]1(C(=O)OC(C)(C)C)CCCN1C(=O)c1ccc(O)c([N+](=O)[O-])c1,0.26,0.435,0.49559492,0.7179438,0.9956022,0.9999629,0.6506839704513551,0.6449134954662187,3.0,0.5849583422894047,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
ZINCrp00000q55vW,C#CC1(C(=O)NCC2(F)CCN(C(=O)c3cc([N+](=O)[O-])oc3C)CC2)CC1,0.275,0.455,0.43804276,0.8875575,0.84459317,0.999979,0.6500287421544393,0.6433755583966031,3.0,0.5874207160918816,0,0,1,0,1,1,3,1,1,0,Level_1_Low_Confidence
