zincid,SMILES,RF_Morgan,RF_MACCS,XGB_Morgan,XGB_MACCS,DNN_Morgan,DNN_MACCS,Consensus_Avg,Consensus_Weighted,Consensus_Votes,Consensus_Geometric,RF_Morgan_Binary,XGB_Morgan_Binary,DNN_Morgan_Binary,RF_MACCS_Binary,XGB_MACCS_Binary,DNN_MACCS_Binary,Models_Active_Count,Consensus_Active,Consensus_Weighted_Active,Vote_Active,Hit_Level
ZINCsN00000gCsav,O=C(c1ncsc1Br)N1[C@H]2CC[C@H]1CN(S(=O)(=O)c1ccc(Br)c(Cl)c1)CC2,0.34,0.681666667,0.69886905,0.9108247,0.9762307,0.9994905,0.767846935,0.761698269,5,0.723939242,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCsj00000oQSX6,C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)COc2ccc(Cl)c([N+](=O)[O-])c2)C[C@@H](O)C1,0.32,0.6325,0.76264924,0.89381516,0.9916794,0.99998873,0.766772084,0.760782263,5,0.717835461,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtb00002pFzxn,Cn1c(CNc2ccc(S(=O)(=O)N3CCO[C@H]4C[C@H]43)cc2Cl)cc(=O)n(C)c1=O,0.275,0.805,0.70882285,0.9699378,0.8481179,0.9975372,0.767402622,0.759719847,5,0.710612072,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtK00000tIzkb,O=[N+]([O-])c1ccc(CN2CCC[C@@H](NS(=O)(=O)c3cc(Br)ccc3Cl)C2)cc1F,0.345,0.591666667,0.7642043,0.9003394,0.974779,0.99998945,0.762663146,0.757033736,5,0.717908216,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtK00000tIzkT,O=[N+]([O-])c1cc(S(=O)(=O)N2CCC[C@H]2CNCc2cc(Cl)ccc2Br)ccc1F,0.345,0.640416667,0.7181757,0.928463,0.9260518,0.99993736,0.759674085,0.753604421,5,0.717487242,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtK00000tIzkF,O=[N+]([O-])c1ccc(S(=O)(=O)N[C@H]2CCCN(Cc3ccc(Br)c(F)c3)C2)cc1Cl,0.39,0.591666667,0.7278588,0.9003394,0.930244,0.99998945,0.756683059,0.751388973,5,0.721159345,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtK00000tIzkh,O=[N+]([O-])c1ccc(CN2C[C@H]3[C@@H](C2)[N@]3S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)c(Br)c1,0.335,0.63,0.76738966,0.8508845,0.9312421,0.9999959,0.752418691,0.746650738,5,0.710213279,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCsD000001smUP,CCOc1cc(N(C)C[C@@H]2CCN(C(=O)c3cnc(C)s3)C2)ccc1[N+](=O)[O-],0.28,0.55,0.76008195,0.9143508,0.9652051,0.9999456,0.744930568,0.738683753,5,0.684985942,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtK00000tIzk7,O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)N[C@@H]2COCCN(Cc3cc(Br)c(Br)s3)C2)c1,0.315,0.692666667,0.8375584,0.9634123,0.6649428,0.9999986,0.745596462,0.738646712,5,0.699424704,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
ZINCtR00000PSJNM,COc1nc(N2CCC[C@@]2(C)Cc2ccc(F)c(C(F)(F)F)c2)ccc1[N+](=O)[O-],0.335,0.535,0.764301,0.8588562,0.95375663,0.99995553,0.741144895,0.735720295,5,0.694491533,0,1,1,1,1,1,5,1,1,1,Level_3_High_Confidence
